city_slug,year,event
koeln,2015,Gründung von #RingFrei und Vorstellung des 10-Punkte-Plans
koeln,2016,Ratsbeschluss zur Prüfung und Umsetzung des 10-Punkte-Plans
koeln,2019,Auszeichnung von #RingFrei mit dem Deutschen Fahrradpreis (Kategorie Kommunikation)
koeln,2019,Einführung von Tempo 30 auf den gesamten Ringen
koeln,2022,Fertigstellung von drei Kilometern neuen Radfahrstreifen
koeln,2023,Lückenschluss am Rudolfplatz (neun Kilometer durchgängig)
koeln,2024,Letzter Lückenschluss am Barbarossaplatz – 10 km durchgängige Radverkehrsführung
